RANK NEW,WORD,IPA,ENGLISH,FREQUENCY,DP RANK,EXAMPLE SENTENCE,,,,,,,,,,RANK NEW
1,ที่,tʰîː,at,773568,94,เขาได้รับรางวัลที่ 1 ในการประกวดวาดภาพ,,,,,,,,,,1
2,ได้,dâj,can,378303,97,นักท่องเที่ยวได้ข้อมูลนี้จากหนังสือนำเที่ยว,,,,,,,,,,2
3,จะ,tɕàʔ,will,481733,96,การอนุรักษ์สิ่งแวดล้อมจะสัมฤทธิ์ผลได้ถ้าทุกคนร่วมมือกัน,,,,,,,,,,3
4,นี้,níː,this,165729,98,ศาลมีคำพิพากษาถึงที่สุดว่าการสมรสของบุคคลคู่นี้ เป็นโมฆะแล้ว,,,,,,,,,,4
5,ว่า,wâː,that; think,344636,95,”ภาษา” เป็นคำที่มาจากรากศัพท์ “ภาษ” แปลว่าพูด,,,,,,,,,,5
6,เป็น,pen,is; be able,515715,92,แมวที่อาจารย์เลี้ยงไว้มีอยู่หลายตัวเป็นแมวจรจัด,,,,,,,,,,6
7,มี,miː,have; there is,480238,92,อาหารหลักที่สำคัญต่อชีวิตเรามี 5 หมู่,,,,,,,,,,7
8,ให้,hâj,for,345123,94,ยานอนหลับและยากล่อมประสาทห้ามซื้อกินเอง ถ้าจะกินต้องให้หมอสั่งยา,,,,,,,,,,8
9,ต้อง,tɔ̂ŋ,must,146008,97,มนุษย์เราจำเป็นต้องใช้ชีวิตร่วมกับผู้อื่น,,,,,,,,,,9
10,ของ,kʰɔ̌ːŋ,of,480700,89,ชมรมค่ายอาสาพัฒนาขอบริจาคของที่เหลือใช้จากประชาชนทั่วไป,,,,,,,,,,10
11,กับ,kàp,with,188374,95,เขาวางเหยื่อล่อเพื่อให้หนูมาติดกับ,,,,,,,,,,11
12,ไม่,mâj,not,435872,88,นมข้นหวานก็เป็นนมที่มีความหวานมากเกินไปไม่เหมาะสำหรับเด็ก,,,,,,,,,,12
13,และ,lɛ́ʔ,and,443806,87,เครื่องจักรทุกชนิดจะต้องมีมนุษย์เป็นผู้ควบคุมและสั่งการใช้งาน,,,,,,,,,,13
14,ใน,naj,in,505903,85,เขาต้องการจะสอบเข้าเรียนในมหาวิทยาลัยมหิดล,,,,,,,,,,14
15,กัน,kan,together,167464,95,เธอและเขารักกันมานานแล้ว,,,,,,,,,,15
