Thai,English,Romanization,ipa,Exemple sentence
ที่,at,thi,tʰîː,เขาได้รับรางวัลที่ 1 ในการประกวดวาดภาพ
ได้,can,dai,dâj,นักท่องเที่ยวได้ข้อมูลนี้จากหนังสือนำเที่ยว
จะ,will,cha,tɕàʔ,การอนุรักษ์สิ่งแวดล้อมจะสัมฤทธิ์ผลได้ถ้าทุกคนร่วมมือกัน
นี้,this,ni,níː,ศาลมีคำพิพากษาถึงที่สุดว่าการสมรสของบุคคลคู่นี้ เป็นโมฆะแล้ว
ว่า,that; think,wa,wâː,”ภาษา” เป็นคำที่มาจากรากศัพท์ “ภาษ” แปลว่าพูด
เป็น,is; be able,pen,pen,แมวที่อาจารย์เลี้ยงไว้มีอยู่หลายตัวเป็นแมวจรจัด
มี,have; there is,mi,miː,อาหารหลักที่สำคัญต่อชีวิตเรามี 5 หมู่
ให้,for,hai,hâj,ยานอนหลับและยากล่อมประสาทห้ามซื้อกินเอง ถ้าจะกินต้องให้หมอสั่งยา
ต้อง,must,tong,tɔ̂ŋ,มนุษย์เราจำเป็นต้องใช้ชีวิตร่วมกับผู้อื่น
ของ,of,khong,kʰɔ̌ːŋ,ชมรมค่ายอาสาพัฒนาขอบริจาคของที่เหลือใช้จากประชาชนทั่วไป
กับ,with,kap,kàp,เขาวางเหยื่อล่อเพื่อให้หนูมาติดกับ
ไม่,not,mai,mâj,นมข้นหวานก็เป็นนมที่มีความหวานมากเกินไปไม่เหมาะสำหรับเด็ก
และ,and,lae,lɛ́ʔ,เครื่องจักรทุกชนิดจะต้องมีมนุษย์เป็นผู้ควบคุมและสั่งการใช้งาน
ใน,in,nai,naj,เขาต้องการจะสอบเข้าเรียนในมหาวิทยาลัยมหิดล
กัน,together,kan,kan,เธอและเขารักกันมานานแล้ว
ขึ้น,increase; up,khuen,kʰɯ̂n,ตอนนี้ชะตาของเขากำลังขึ้น ทำอะไรก็รวยไปหมด
ด้วย,with; also,duai,dûaj,หัวหน้าไปกินข้าวด้วยกับลูกน้องทุกครั้ง
จาก,from,chak,tɕàːk,ทางแถบชายฝั่งทะเลภาคตะวันออกจะเห็นจากขึ้นอยู่ทั่วไป
การ,the process of; work; job,kan,kaːn,คนที่ประสบความสำเร็จในงานนั้นเป็นคนที่ขยันทำการทุกอย่างด้วยตนเอง
ไป,go,pai,paj,เขาไปกรุงโรม
มา,come,ma,maː,เขามาตั้งแต่เมื่อตอนเช้ามืดแล้ว
ถึง,reach; arrive at,thueng,tʰɯ̌ŋ,ถึงพ่อจะใจดีแค่ไหน ท่านก็คงจะไม่อนุญาตให้เราไปเที่ยวกลางคืน
กว่า,than,kwa,kwàː,คนน้องสูงกว่าคนพี่มาก
ทั้ง,all; both,thang,tʰáŋ,เด็กๆ ดีใจกันทั้งโรงเรียน
เมื่อ,when,muea,mɯ̂ːa,เมื่อระดับน้ำสูงท่วมรากพืชมันก็จะเริ่มเน่าเพราะรากแช่น้ำ
คน,person,khon,kʰon,ในสมัยก่อนคนยังอาศัยอยู่ในถ้ำ และใช้อาวุธง่ายๆ ในการล่าสัตว์
แต่,but,tae,tɛ̀ː,คราวใดที่แม่สั่งให้ซื้อผลไม้ แม่ต้องกำชับว่าให้เลือกแต่ลูกโตๆ
อยู่,located; present; exists,yu,jùː,สายตาทุกคู่หันมาจับจ้องเขามีแววสงสัยเหมือนอย่างอยากรู้เรื่องที่เขากำลังพูดอยู่
ก็,then,ko,kɔ̂ː,ญี่ปุ่นก็เป็นอีกชาติหนึ่งที่กำลังทุ่มเททางด้านคอมพิวเตอร์เป็นอย่างมาก
เรื่อง,subject; story,rueang,rɯ̂ːaŋ,ความเจ็บปวดในเรื่องความหิวกระหาย เป็นเรื่องที่ทำให้คนแสดงพฤติกรรมที่เข้าหา
